归字谣　　　又名苍梧谣、十六字令
梧桐影　　　又名明月斜
啰唝曲　　　又名望夫歌
南歌子　　　又名春宵曲、水晶帘、碧窗梦、十爱词、南柯子、望秦川、风蝶令
三台　　　　又名开元乐、翠华引
渔歌子　　　又名渔父、渔父乐
忆江南　　　又名谢秋娘、江南好、春去也、望江南、梦江南、梦江口、望江梅、安阳好、梦仙游、步虚声、壶山好、望蓬莱、归塞北
捣练子　　　又名捣练子令、深院月
春晓曲　　　又名西楼月
寿阳曲　　　又名落梅风
天净沙　　　又名塞上秋 
甘州曲　　　又名甘州子
喜春来　　　又名阳春曲
秋风清　　　又名秋风引、江南路、新安路
抛球乐　　　又名莫思归
忆王孙　　　又名独脚令、忆君王、豆叶黄、画娥眉、栏杆万里心、怨王孙
金字经　　　又名阅金经
古调笑　　　又名宫中调笑、转应曲、三台令
如梦令　　　又名忆仙姿、宴桃源、不见、比梅、古记、无梦令、如意令
诉衷情　　　又名桃花水
天仙子　　　又名万斯年
归自谣　　　又名风光子、思佳客
江城子　　　又名江神子、村意远
长相思　　　又名吴山青、山渐青、青山相送迎、长相思令、相思令
相见欢　　　又名秋夜月、上西楼、西楼子、忆真妃、月上瓜州、乌夜啼
河满子　　　又名何满子
望梅花　　　又名望梅花令
醉太平　　　又名凌波曲、醉思凡、四字令
长命女　　　又名薄命女
春光好　　　又名愁倚阑令、愁倚阑、倚阑令
生查子　　　又名楚云深、梅和柳、晴色入青山
添声杨柳枝　又名贺圣朝影、太平时
醉公子　　　又名四换头
昭君怨　　　又名洛妃怨、宴西园
玉蝴蝶　　　又名玉蝴蝶慢
女冠子　　　又名女冠子慢
中兴乐　　　又名湿罗衣
点绛唇　　　又名点樱桃、十八香、南浦月、沙头雨、寻瑶草
平湖乐　　　又名小桃红、采莲词
归国遥　　　又名归平遥
赞浦子　　　又名赞普子
浣溪沙　　　又名小庭花、减字浣溪沙、满院春、东风寒、醉木犀、霜菊花、广寒枝、试香罗、清和风、怨啼鹃
沙塞子　　　又名沙碛子
殿前欢　　　又名凤将雅
霜天晓角　　又名月当窗、踏月、长桥月
清商怨　　　又名关河令、伤情怨
菩萨蛮　　　又名重叠金、子夜歌、菩萨鬘、花间意、梅花句、花溪碧、晚云烘日
采桑子　　　又名丑奴儿令、罗敷媚歌、丑奴儿、罗敷媚
后庭花　　　又名玉树后庭花
诉衷情令　　又名渔父家风、一丝风
减字木兰花　又名减兰、木兰香、天下乐令
卜算子　　　又名缺月挂疏桐、百尺楼、楚天谣、眉峰碧
一落索　　　又名洛阳春、玉连环、一络索
谒金门　　　又名空相忆、花自落、垂杨碧、杨花落、出塞、东风吹酒面、不怕醉、醉花春、春早湖山
好事近　　　又名钓船笛、翠圆枝
好女儿　　　又名绣带儿
彩鸾归令　　又名青山远
清平乐　　　又名清平乐令、忆萝月、醉东风
忆秦娥　　　又名秦楼月、双荷叶、蓬莱阁、碧云深、花深深
朝天子　　　又名思越人
忆少年　　　又名陇首山、十二时、桃花曲
相思引　　　又名玉交枝、定风波令、琴调相思引、镜中人
江亭怨　　　又名清平乐令、荆州亭
喜迁莺　　　又名鹤冲天、万年枝、春光好、喜迁莺令、燕归来、早梅芳、烘春桃李
乌夜啼　　　又名圣无忧、锦堂春
相思儿令　　又名相思令
阮郎归　　　又名碧桃春、醉桃源、宴桃源、濯缨曲
贺圣朝　　　又名转调贺圣朝
山花子　　　又名南唐浣溪沙、添字浣溪沙、摊破浣溪沙、感恩多令
胡捣练　　　又名望仙楼
桃源忆故人　又名虞美人影、胡捣练、桃园忆故人、醉桃园、杏花风
撼庭秋　　　又名感庭秋
庆金枝　　　又名庆金枝令
烛影摇红　　又名忆故人、归去曲、玉珥坠金环、秋色横空
朝中措　　　又名照江梅、芙蓉曲、梅月圆
眼儿媚　　　又名小栏杆、东风寒、秋波媚
人月圆　　　又名青衫湿
喜团圆　　　又名与团圆
海棠春　　　又名海棠花、海棠春令
武陵春　　　又名武林春
鬲溪梅令　　又名高溪梅令
月宫春　　　又名月中行
极相思　　　又名极相思令
柳梢青　　　又名云淡秋空、雨洗元宵、玉水明沙、早春怨、陇头月
醉乡春　　　又名添春色
太常引　　　又名太清引、腊前梅
应天长　　　又名应天长令、应天长慢
少年游　　　又名玉腊梅枝、小栏杆
忆汉月　　　又名望汉月
西江月　　　又名白苹香、步虚词、江月令
梁州令　　　又名凉州令、梁州令叠韵
归田乐　　　又名归田乐引
惜分飞　　　又名惜双双、惜双双令、惜芳菲 
促拍采桑子　又名促拍丑奴儿
四犯令　　　又名四和香、桂华明
探春令　　　又名景龙灯
越江吟　　　又名宴瑶池、瑶池宴、瑶池宴令
雨中花令　　又名送将归
伊州令　　　又名伊川令
引驾行　　　又名长春
双雁儿　　　又名双燕子
寻芳草　　　又名王孙信
恨来迟　　　又名恨欢迟
红窗听　　　又名红窗睡
折桂令　　　又名秋风第一枝、天香引、蟾宫曲
临江仙　　　又名谢新恩、雁后归、画屏春、庭院深深
浪淘沙令　　又名曲入冥、卖花声、过龙门、炼丹砂
金错刀　　　又名醉瑶瑟、君来路
端正好　　　又名于中好
杏花天　　　又名杏花风
恋绣衾　　　又名泪珠弹
撷芳词　　　又名折红英、清商怨、惜分钗、钗头凤、玉珑璁
鹦鹉曲　　　又名黑漆弩、学士吟
河传　　　　又名怨王孙、庆同天、月照梨花、秋光满目
夜行船　　　又名明月棹孤舟
鹧鸪天　　　又名思越人、思佳客、剪朝霞、骊歌一叠、醉梅花
虞美人　　　又名虞美人令、玉壶冰、忆柳曲、一江春水
瑞鹧鸪　　　又名舞春风、桃花落、鹧鸪词、拾菜娘、天下乐、太平乐、五拍
玉楼春　　　又名惜春容、西湖曲、玉楼春令、归朝欢令
鹊桥仙　　　又名鹊桥仙令、忆人人、金风玉露相逢曲、广寒秋
卓牌子　　　又名卓牌子令、卓牌子慢
厅前柳　　　又名亭前柳
一斛珠　　　又名一斛夜明珠、醉落魄、怨春风、醉落拓
夜游宫　　　又名新念别
梅花引　　　又名贫也乐、小梅花
小重山　　　又名小冲山、小重山令、柳色新
踏莎行　　　又名喜朝天、柳长春、踏雪行、转调踏莎行
扫地舞　　　又名扫市舞
接贤宾　　　又名集贤宾
步蟾宫　　　又名钓台词、折丹桂
冉冉云　　　又名弄花雨
蝶恋花　　　又名鹊踏枝、黄金缕、卷珠帘、明月生南浦、细雨吹池沼、凤栖梧、一箩金、鱼水同欢、转调蝶恋花
少年心　　　又名添字少年心
一翦梅　　　又名腊梅香、玉簟秋
唐多令　　　又名糖多令、南楼令、箜篌曲
系裙腰　　　又名芳草渡 
定风波　　　又名定风流、定风波令
破阵子　　　又名十拍子
苏幕遮　　　又名鬓云松令
摊破南乡子　又名青杏儿、似娘儿、庆灵椿、闲闲令
醉春风　　　又名怨东风
握金钗　　　又名戛金钗
锦缠道　　　又名锦缠头、锦缠绊
厌金杯　　　又名献金杯
谢池春　　　又名风中柳、风中柳令、玉莲花、卖花声
胜胜令　　　又名声声令
青玉案　　　又名西湖路
梦行云　　　又名六么花十八
凤凰阁　　　又名数花风
连理枝　　　又名红娘子、小桃红、灼灼花
月上海棠　　又名玉关遥、月上海棠慢
小镇西犯　　又名小镇西、镇西
千秋岁　　　又名千秋节
甘露歌　　　又名祝英台
于飞乐　　　又名鸳鸯怨曲
隔浦莲近拍　又名隔浦莲、隔浦莲近
风入松　　　又名风入松慢、远山横
剔银灯　　　又名剔银灯引
解蹀躞　　　又名玉蹀躞
扑蝴蝶　　　又名扑蝴蝶近
千年调　　　又名相思会
番枪子　　　又名春草碧
荔枝香　　　又名荔枝香近
婆罗门引　　又名婆罗门、望月婆罗门引
御街行　　　又名孤雁儿
祝英台近　　又名宝钗分、月底修箫谱、燕莺语、寒食词
阳关引　　　又名古阳关
金人捧露盘　又名铜人捧露盘、上平西、上西平、西平曲、上平南
斗百花　　　又名夏州
最高楼　　　又名醉高春
彩凤飞　　　又名彩凤舞
蓦山溪　　　又名上阳春
千秋岁引　　又名千秋岁令、千秋万岁
早梅芳　　　又名早梅芳近
新荷叶　　　又名折新荷引、泛兰舟
促拍满路花　又名满路花、满园花、归去难、一枝花、喝马一枝花
洞仙歌　　  又名洞仙歌令、羽仙歌、洞仙词、洞中仙、洞仙歌慢
蕙兰芳引　　又名蕙兰芳
受恩深　　　又名爱恩深
五福降中天　又名五福降中天慢
江城梅花引　又名摊破江城子、四笑江梅引、梅花引、明月引、西湖明月引
八六子　　　又名感黄鹂
采桑子慢　　又名丑奴儿慢、愁春未醒、丑奴儿近、叠青钱
探芳信　　　又名西湖春
法曲献仙音　又名献仙音、越女镜心
露华　　　　又名露华慢
凄凉犯　　　又名瑞鹤仙影
浣溪沙慢　　又名浣溪纱慢
四犯剪梅花　又名辘轳金井、三犯锦园春、月城春、锦园春
尾犯　　　　又名碧芙蓉
六么令　　　又名绿腰、乐世、录要
水调歌头　　又名元会曲、凯歌
扫地游　　　又名扫花游
满庭芳　　　又名锁阳台、满庭霜、潇湘夜雨、话桐乡、江南好、满庭花、转调满庭芳
小圣乐　　　又名骤雨打新荷
汉宫春　　　又名汉宫春慢
倦寻芳　　　又名倦寻芳慢
八声甘州　　又名甘州、萧萧雨、宴瑶池
醉蓬莱　　　又名雪月交光、冰玉风月
凤凰台上忆吹箫　又名忆吹箫
庆清朝　　　又名庆清朝慢
燕春台　　　又名夏初临
声声慢　　　又名胜胜慢、人在楼上
琐窗寒　　　又名锁寒窗
十月桃　　　又名十月梅
新雁过妆楼　又名雁过妆楼、瑶台聚八仙、八宝妆、百宝妆
国香　　　　又名国香慢
芳草　　　　又名凤箫吟
念奴娇　　　又名大江东去、酹江月、赤壁词、酹月、壶中天慢、大江西上曲、太平欢、寿南枝、古梅曲、湘月、淮甸春、白雪词、百字令、百字谣、无俗念、千秋岁、庆长春、杏花天
渡江云　　　又名三儿犯渡江云
高阳台　　　又名庆春泽慢、庆宫春
桂枝香　　　又名疏帘淡月
锦堂春慢　　又名锦堂春
西平乐　　　又名西平乐慢
水龙吟　　　又名丰年瑞、鼓笛慢、龙吟曲、小楼连苑、庄椿岁
石州慢　　　又名柳色黄、石州引
宴清都　　　又名四代好
庆春宫　　　又名庆宫春
忆旧游　　　又名忆旧游慢
花犯　　　　又名绣鸾凤花犯
倒犯　　　　又名吉了犯
瑞鹤仙　　　又名一撚红
齐天乐　　　又名台城路、五福降中天、如此江山
氐州第一　　又名熙州摘遍
瑶华　　　　又名瑶花慢
竹马儿　　　又名竹马子
忆瑶姬　　　又名别素质、别瑶姬慢
探春慢　　　又名探春
眉妩　　　　又名百宜娇
湘江静　　　又名潇湘静
归朝欢　　　又名菖蒲绿
永遇乐　　　又名消息
二郎神　　　又名转调二郎神、十二郎
倾杯乐　　　又名古倾杯、倾杯
月中桂　　　又名月中仙
拜星月慢　　又名拜新月
花心动　　　又名好心动、桂香飘、上升花、花心慢动
阳春　　　　又名阳春曲
西河　　　　又名西河慢、西湖
秋霁　　　　又名春霁
解连环　　　又名望梅、杏梁燕
夜飞鹊慢　　又名夜飞鹊
落梅　　　　又名落梅慢
飞雪满群山　又名遍扁寻旧约、飞雪满堆山
泛青苕　　　又名感皇恩慢
夺锦标　　　又名清溪怨
江城子慢　　又名江神子慢
八宝妆　　　又名八犯玉交枝
疏影　　　　又名绿意、解佩环
选冠子　　　又名选官子、转调选冠子、惜余春慢、苏武慢、过秦楼
霜叶飞　　　又名半婵娟
沁园春　　　又名东仙、寿星明、洞庭春色
瑶台月　　　又名瑶池月
摸鱼儿　　　又名买陂塘、陂塘柳、迈陂塘、山鬼谣、双蕖怨
贺新郎　　　又名金缕歌、金缕曲、金缕词、乳燕飞、贺新凉、风敲竹、貂裘换酒
吊严陵　　　又名暮云碧
金明池　　　又名昆明池、夏云峰
笛家　　　　又名笛家弄慢
秋思耗　　　又名画屏秋色
多丽　　　　又名鸭头绿、陇头泉
宝鼎现　　　又名三段子、宝鼎儿
哨遍　　　　又名稍遍
戚氏　　　　又名梦游仙
莺啼序　　　又名丰乐楼
